seqid	BAQ1370.1.3	BAQ1552.1.1	BAQ2420.1.1	BAQ2420.1.2	BAQ2420.1.3	BAQ2420.2	BAQ2420.3	BAQ2462.1	BAQ2462.2	BAQ2462.3	BAQ2687.1	BAQ2687.2	BAQ2687.3	BAQ2838.1	BAQ2838.2	BAQ2838.3	BAQ3473.1	BAQ3473.2	BAQ3473.3	BAQ4166.1.1	BAQ4166.1.2	BAQ4166.1.3	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	BAQ895.2	BAQ895.3	YUN1005.1.1	YUN1005.3	YUN1242.1	YUN1242.2	YUN1242.3	YUN1609.1	YUN2029.1	YUN2029.2	YUN3008.1.3	YUN3008.2	YUN3008.3	YUN3153.1	YUN3153.2	YUN3153.3	YUN3184.1	YUN3184.2	YUN3259.1.1	YUN3259.1.2	YUN3259.1.3	YUN3259.2	YUN3259.3	YUN3346.1	YUN3346.2	YUN3346.3	YUN3428.1	YUN3428.2	YUN3428.3	YUN3533.1.1	YUN3533.1.2	YUN3533.1.3	YUN3533.2	YUN3533.3	YUN3856.1.1	YUN3856.1.2	YUN3856.1.3	YUN3856.2	YUN3856.3
ddbc32632c9632d1dd746f28721f3a9f	0	0	0	0	0	87	0	830	491	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	164	0	0	100	31	19	0	0	0	0	0	0	0	0	0	0	0	0	0
5eee6273221f15d4e0cdc2c033f0dd72	0	0	0	62	0	0	46	96	72	0	0	0	0	66	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	372	0	0	0	0	0	138	0	0	0	75	0	47	91	39	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
28df1c1787c97637be4f8a7fe41c1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	1625	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e4d034e4b967b745639f825dc73ebe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	166	0	0	0	102	0	703	0	0	0	0	109	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e043936a0f7ec9177eaaf79e4bbe8631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	0	257	150	0	0	0	64	0	0	0	0	0	0
352875c83f4adf659984d683666d2038	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	325	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	20	0	19	0	22	0	44	39	0	0	28	56	22	35	0	36	0	61	0
b65d67bf1cf90c3fcd9868edc2f35454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	193	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
137b99f91e5e420832b5c3ae75a12a45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b93b0042b0a3fba92a57224122cea67	0	0	0	0	0	0	0	0	0	0	53	0	19	0	0	0	155	98	200	56	66	0	504	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
82bd79dc4db9e3681c376c90b1604fa8	0	0	0	143	77	0	0	0	0	0	0	0	54	0	0	0	62	0	30	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	283	48	76	57	36	0	0	38	154	0	0	0	0	0	0	0	0	50	0	0
