Feature ID	Taxon	Confidence
2d98692d68e9d9ee5061a9d73be01784	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Intrasporangiaceae	0.9956714558774479
9d46a1b33013e6c5b54b08fa9c034802	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Sporolactobacillaceae;D_5__Salipaludibacillus	0.8908317939296797
30a7e9e8289a08555822d5c8b3e3ab1b	D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae	0.9994298602903943
55cf2010c3f12757def6629dc62ebb19	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales	0.8775850471871345
66f029313e0eaeec572fe7881e4bfa3d	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1)	0.9991279686581984
aa41f98f2bf5cb7d0164d834a18c43cf	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Nitrosomonadaceae;D_5__Ellin6067	0.9999894551683906
029f38558c12daad433d88f336cb26b5	D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7147334788105064
3ca3a86dad4ae9f2104ed9b3531a0271	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__AKAU4049;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.8618964610315135
6b780e361cfc5f06def718518324bdcb	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	0.9999723231867078
df22e5bdc52a318ae3f061bc40c7b5d6	D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales;D_4__Pyrinomonadaceae;D_5__RB41	0.9951074000014516
