sample	seqname	count
P13625_1078_S78	seq_000000117	7
P13625_1079_S79	seq_000000117	5
P13625_1080_S80	seq_000000117	20
P13625_1079_S79	seq_000000118	14
P13625_1077_S77	seq_000000119	13
P13625_1078_S78	seq_000000119	8
P13625_1079_S79	seq_000000120	2
P13625_1076_S76	seq_000000121	182
P13625_1075_S75	seq_000000122	1264
P13625_1075_S75	seq_000000123	288
P13625_1076_S76	seq_000000123	7040
P13625_1080_S80	seq_000000123	16
P13625_1076_S76	seq_000000124	1406
P13625_1076_S76	seq_000000125	1
P13625_1076_S76	seq_000000126	1
P13625_1076_S76	seq_000000127	1
P13625_1076_S76	seq_000000128	1
P13625_1077_S77	seq_000000129	1
P13625_1075_S75	seq_000000130	257
P13625_1076_S76	seq_000000130	3515
P13625_1078_S78	seq_000000130	8
P13625_1079_S79	seq_000000130	4
P13625_1080_S80	seq_000000130	10
P13625_1075_S75	seq_000000131	480
P13625_1080_S80	seq_000000132	13
P13625_1078_S78	seq_000000133	12
P13625_1077_S77	seq_000000134	28
P13625_1078_S78	seq_000000134	15
P13625_1079_S79	seq_000000134	57
P13625_1075_S75	seq_000000135	10
P13625_1079_S79	seq_000000135	231
P13625_1080_S80	seq_000000135	156
P13625_1080_S80	seq_000000136	7
P13625_1079_S79	seq_000000137	79
P13625_1080_S80	seq_000000137	62
P13625_1077_S77	seq_000000138	43
P13625_1075_S75	seq_000000139	10
P13625_1077_S77	seq_000000139	288
P13625_1078_S78	seq_000000139	233
P13625_1079_S79	seq_000000139	12
P13625_1077_S77	seq_000000140	1
P13625_1077_S77	seq_000000141	1
P13625_1078_S78	seq_000000142	1
P13625_1078_S78	seq_000000143	1
P13625_1077_S77	seq_000000144	2
P13625_1077_S77	seq_000000145	1
P13625_1079_S79	seq_000000146	1
P13625_1077_S77	seq_000000147	1
P13625_1077_S77	seq_000000148	2
P13625_1075_S75	seq_000000149	59
P13625_1076_S76	seq_000000149	6
P13625_1077_S77	seq_000000149	5191
P13625_1078_S78	seq_000000149	2022
P13625_1079_S79	seq_000000149	255
P13625_1080_S80	seq_000000149	225
P13625_1077_S77	seq_000000150	2
P13625_1075_S75	seq_000000151	7
P13625_1077_S77	seq_000000151	1271
P13625_1078_S78	seq_000000151	471
P13625_1079_S79	seq_000000151	108
P13625_1080_S80	seq_000000151	74
P13625_1077_S77	seq_000000152	2
P13625_1077_S77	seq_000000153	1
P13625_1075_S75	seq_000000154	11
P13625_1077_S77	seq_000000154	773
P13625_1078_S78	seq_000000154	328
P13625_1079_S79	seq_000000154	191
P13625_1080_S80	seq_000000154	101
P13625_1079_S79	seq_000000155	1
P13625_1079_S79	seq_000000156	1
P13625_1079_S79	seq_000000157	1
P13625_1079_S79	seq_000000158	1
P13625_1079_S79	seq_000000159	1
P13625_1079_S79	seq_000000160	1
P13625_1075_S75	seq_000000161	36
P13625_1077_S77	seq_000000161	1184
P13625_1078_S78	seq_000000161	475
P13625_1079_S79	seq_000000161	740
P13625_1080_S80	seq_000000161	484
P13625_1079_S79	seq_000000162	2
P13625_1079_S79	seq_000000163	1
P13625_1079_S79	seq_000000164	1
P13625_1077_S77	seq_000000165	380
P13625_1078_S78	seq_000000165	146
P13625_1079_S79	seq_000000165	361
P13625_1080_S80	seq_000000165	200
P13625_1079_S79	seq_000000166	1
P13625_1079_S79	seq_000000167	1
P13625_1079_S79	seq_000000168	1
P13625_1075_S75	seq_000000169	24
P13625_1077_S77	seq_000000169	658
P13625_1078_S78	seq_000000169	371
P13625_1079_S79	seq_000000169	332
P13625_1080_S80	seq_000000169	234
P13625_1077_S77	seq_000000170	95
P13625_1078_S78	seq_000000170	55
P13625_1079_S79	seq_000000170	27
P13625_1080_S80	seq_000000170	38
P13625_1077_S77	seq_000000171	441
P13625_1078_S78	seq_000000171	187
P13625_1079_S79	seq_000000171	129
P13625_1080_S80	seq_000000171	97
P13625_1079_S79	seq_000000172	5
P13625_1079_S79	seq_000000173	5
P13625_1078_S78	seq_000000174	4
P13625_1078_S78	seq_000000175	3
P13625_1075_S75	seq_000000176	512
P13625_1078_S78	seq_000000177	1
P13625_1078_S78	seq_000000178	9
P13625_1079_S79	seq_000000178	10
P13625_1080_S80	seq_000000178	5
P13625_1077_S77	seq_000000179	38
P13625_1078_S78	seq_000000179	22
P13625_1079_S79	seq_000000179	68
P13625_1080_S80	seq_000000179	82
P13625_1075_S75	seq_000000180	25
P13625_1077_S77	seq_000000180	354
P13625_1078_S78	seq_000000180	307
P13625_1079_S79	seq_000000180	1084
P13625_1080_S80	seq_000000180	674
P13625_1079_S79	seq_000000181	1
P13625_1079_S79	seq_000000182	1
P13625_1078_S78	seq_000000183	40
P13625_1075_S75	seq_000000184	22
P13625_1077_S77	seq_000000184	279
P13625_1078_S78	seq_000000184	233
P13625_1079_S79	seq_000000184	138
P13625_1080_S80	seq_000000184	158
P13625_1077_S77	seq_000000185	64
P13625_1078_S78	seq_000000185	45
P13625_1079_S79	seq_000000185	20
P13625_1080_S80	seq_000000185	24
P13625_1077_S77	seq_000000186	1
P13625_1077_S77	seq_000000187	1
P13625_1075_S75	seq_000000188	4
P13625_1079_S79	seq_000000188	319
